genre,color,font_size,left,top
folclore tucumano,"rgb(91, 157, 12)",101%,914px,17362px
swedish synth,"rgb(187, 134, 91)",101%,777px,2124px
rock alternatif francais,"rgb(188, 112, 62)",101%,344px,7640px
indonesian edm,"rgb(189, 134, 107)",101%,811px,2993px
folklore nuevo argentino,"rgb(128, 147, 20)",101%,898px,14002px
kyrgyz hip hop,"rgb(171, 138, 18)",101%,1066px,7107px
vancouver metal,"rgb(208, 88, 88)",101%,234px,7835px
kizomba antigas,"rgb(184, 141, 27)",101%,1055px,3005px
mega funk,"rgb(161, 136, 11)",101%,1280px,2884px
mexican metal,"rgb(220, 83, 67)",101%,254px,8279px
thai bl ost,"rgb(131, 152, 17)",101%,752px,8919px
indie platense,"rgb(162, 135, 38)",101%,491px,8391px
kizomba cabo-verdiana,"rgb(178, 147, 15)",101%,1027px,2913px
czech singer-songwriter,"rgb(111, 148, 12)",101%,802px,15224px
norwegian folk rock,"rgb(146, 140, 11)",101%,491px,11325px
avant-garde,"rgb(33, 150, 120)",101%,359px,20873px
chinese manyao,"rgb(168, 148, 33)",101%,900px,4112px
krautrock,"rgb(132, 132, 140)",101%,463px,12302px
adoracion pentecostal,"rgb(143, 148, 8)",101%,871px,10929px
accordion,"rgb(126, 137, 77)",101%,818px,15371px
tamborazo,"rgb(156, 139, 99)",101%,971px,11225px
kannada pop,"rgb(152, 139, 5)",101%,869px,10734px
avant-garde jazz,"rgb(87, 139, 98)",101%,730px,17994px
suomirap,"rgb(174, 128, 13)",101%,1055px,7774px
merengue tipico,"rgb(192, 120, 10)",101%,1081px,13131px
rap inde,"rgb(176, 128, 20)",101%,1035px,10930px
connecticut hardcore,"rgb(228, 83, 40)",101%,294px,9243px
deep techno,"rgb(175, 149, 204)",101%,1256px,857px
greek metal,"rgb(214, 93, 80)",101%,214px,6339px
slovenian pop,"rgb(158, 134, 11)",101%,656px,9093px
melodic hard rock,"rgb(209, 107, 9)",101%,273px,4030px
rap liegeois,"rgb(141, 148, 15)",101%,1076px,10024px
blasmusik,"rgb(88, 150, 171)",101%,809px,19084px
connecticut indie,"rgb(153, 132, 42)",101%,470px,11697px
austrian indie,"rgb(139, 145, 37)",101%,717px,8476px
russian trance,"rgb(221, 121, 125)",101%,505px,1779px
thai teen pop,"rgb(155, 143, 9)",101%,793px,6859px
instrumental djent,"rgb(216, 109, 193)",101%,275px,3702px
soulful house,"rgb(181, 134, 119)",101%,1258px,1017px
oshare kei,"rgb(218, 98, 16)",101%,328px,4190px
tropical tecladista,"rgb(180, 141, 12)",101%,1197px,2812px
tipico,"rgb(176, 135, 5)",101%,962px,13029px
rap underground colombiano,"rgb(152, 133, 38)",101%,1061px,9463px
musica tabasquena,"rgb(175, 133, 14)",101%,1175px,8287px
cincinnati indie,"rgb(174, 121, 50)",101%,393px,8793px
finnish indie,"rgb(146, 140, 92)",101%,605px,8857px
mandolin,"rgb(112, 154, 89)",101%,858px,15359px
gypsy punk,"rgb(176, 121, 39)",101%,727px,8787px
grimewave,"rgb(169, 137, 135)",101%,934px,4167px
operetta,"rgb(54, 145, 85)",101%,522px,21051px
russian metalcore,"rgb(230, 90, 49)",101%,234px,4477px
persian rock,"rgb(150, 140, 21)",101%,600px,10009px
trondersk musikk,"rgb(158, 136, 7)",101%,602px,8391px
modular synth,"rgb(110, 149, 197)",101%,489px,12563px
underground rap,"rgb(182, 118, 27)",101%,1012px,10739px
romanian rock,"rgb(164, 134, 26)",101%,600px,6761px
new tribe,"rgb(93, 158, 171)",101%,744px,14097px
munich electronic,"rgb(179, 142, 171)",101%,1256px,1211px
viola caipira,"rgb(117, 154, 53)",101%,883px,15640px
zikir,"rgb(78, 161, 2)",101%,647px,17088px
classic anime,"rgb(157, 127, 68)",101%,550px,7456px
afro drill,"rgb(159, 143, 8)",101%,1148px,8136px
ukrainian post-punk,"rgb(179, 125, 113)",101%,483px,5051px
adoracion,"rgb(155, 140, 18)",101%,600px,9785px
mappila paattu,"rgb(160, 142, 5)",101%,898px,8412px
psychokore,"rgb(184, 128, 16)",101%,996px,6043px
midwest americana,"rgb(130, 145, 21)",101%,553px,13175px
semba,"rgb(174, 134, 14)",101%,973px,8763px
vietnamese bolero,"rgb(125, 154, 5)",101%,529px,13027px
japanese underground rap,"rgb(178, 122, 37)",101%,991px,9563px
swedish punk,"rgb(215, 89, 18)",101%,317px,9574px
neapolitan funk,"rgb(162, 129, 86)",101%,1012px,5316px
kundiman,"rgb(94, 156, 30)",101%,507px,15784px
granada indie,"rgb(176, 129, 45)",101%,432px,7060px
korean underground rap,"rgb(169, 135, 10)",101%,1105px,8035px
hardtekk,"rgb(203, 135, 137)",101%,1099px,1309px
vermont indie,"rgb(121, 142, 47)",101%,562px,13380px
croatian hip hop,"rgb(180, 128, 20)",101%,1040px,7861px
technical groove metal,"rgb(227, 69, 96)",101%,262px,6094px
swedish house,"rgb(171, 140, 166)",101%,1218px,1370px
new orleans soul,"rgb(138, 125, 36)",101%,944px,14499px
trap maroc,"rgb(140, 150, 4)",101%,1031px,8586px
piedmont blues,"rgb(74, 151, 40)",101%,1079px,19658px
arab groove,"rgb(145, 136, 49)",101%,835px,11040px
blaskapelle,"rgb(92, 146, 166)",101%,782px,19228px
classic nepali pop,"rgb(96, 156, 108)",101%,440px,14763px
naat,"rgb(130, 139, 1)",101%,690px,16571px
tekno,"rgb(226, 116, 148)",101%,960px,1277px
brega paraense,"rgb(193, 137, 4)",101%,991px,4764px
telugu worship,"rgb(146, 139, 15)",101%,727px,11509px
experimental folk,"rgb(88, 154, 117)",101%,352px,15784px
slow game,"rgb(154, 145, 7)",101%,1006px,6259px
heavy alternative,"rgb(214, 108, 11)",101%,251px,3657px
jazz mexicano,"rgb(114, 145, 100)",101%,791px,14789px
electro bailando,"rgb(201, 134, 8)",101%,1070px,2612px
polish blues,"rgb(153, 130, 20)",101%,664px,11064px
instrumental stoner rock,"rgb(170, 123, 155)",101%,313px,11337px
rennes indie,"rgb(141, 136, 44)",101%,807px,9613px
rumeli turkuleri,"rgb(136, 142, 54)",101%,634px,13689px
experimental house,"rgb(170, 141, 184)",101%,1081px,2368px
rap kreyol,"rgb(177, 135, 5)",101%,1074px,9687px
rumba catalana,"rgb(193, 114, 12)",101%,1017px,12502px
cantautor catala,"rgb(114, 149, 19)",101%,687px,14383px
outsider,"rgb(109, 126, 77)",101%,587px,15175px
hammond organ,"rgb(130, 135, 122)",101%,894px,14220px
funky breaks,"rgb(185, 130, 128)",101%,1211px,1346px
atlanta punk,"rgb(215, 88, 44)",101%,298px,8732px
igbo pop,"rgb(192, 128, 17)",101%,1051px,12238px
commons,"rgb(99, 155, 149)",101%,507px,12749px
deep german indie,"rgb(149, 136, 46)",101%,597px,8182px
sydney indie,"rgb(178, 123, 51)",101%,379px,7470px
indie napoletano,"rgb(136, 140, 40)",101%,802px,10819px
traditional folk,"rgb(76, 152, 33)",101%,995px,19515px
canadian modern jazz,"rgb(94, 152, 134)",101%,727px,17030px
mecha,"rgb(154, 126, 77)",101%,395px,9291px
keroncong,"rgb(128, 154, 17)",101%,602px,11251px
horror synth,"rgb(104, 150, 186)",101%,363px,10707px
finnish punk,"rgb(215, 89, 27)",101%,332px,9267px
technical thrash,"rgb(224, 70, 99)",101%,215px,9030px
tunisian pop,"rgb(175, 127, 8)",101%,787px,7812px
children's story,"rgb(63, 141, 56)",101%,1040px,16903px
comptine,"rgb(72, 161, 81)",101%,983px,13668px
autonomous black metal,"rgb(179, 81, 169)",101%,67px,11101px
beat italiano,"rgb(145, 134, 12)",101%,483px,12189px
german indie pop,"rgb(158, 141, 43)",101%,761px,5465px
cypriot pop,"rgb(148, 141, 11)",101%,690px,10635px
symphonic death metal,"rgb(215, 89, 102)",101%,138px,6119px
korean trap,"rgb(178, 143, 10)",101%,1025px,6184px
kyushu indie,"rgb(173, 124, 24)",101%,518px,8304px
vincy soca,"rgb(209, 133, 4)",101%,1074px,2812px
cristiana para ninos,"rgb(129, 146, 27)",101%,802px,9836px
full on,"rgb(223, 123, 187)",101%,973px,1062px
crust punk,"rgb(226, 54, 101)",101%,199px,10720px
singeli,"rgb(208, 117, 72)",101%,967px,5488px
mongolian alternative,"rgb(157, 132, 43)",101%,567px,8524px
musica ayacuchana,"rgb(163, 144, 11)",101%,1008px,14014px
persian alternative,"rgb(124, 147, 45)",101%,640px,13248px
indie siciliano,"rgb(137, 143, 35)",101%,671px,10513px
technical deathcore,"rgb(233, 69, 134)",101%,174px,7282px
manitoba indie,"rgb(136, 141, 28)",101%,545px,11375px
plunderphonics,"rgb(158, 110, 94)",101%,749px,9848px
uk dub,"rgb(145, 150, 104)",101%,1216px,2525px
jazz clarinet,"rgb(93, 130, 136)",101%,969px,18982px
coupe-decale,"rgb(197, 123, 13)",101%,1048px,5659px
buffalo ny metal,"rgb(227, 67, 91)",101%,228px,10427px
nova musica paulista,"rgb(131, 145, 43)",101%,865px,11213px
classic sinhala pop,"rgb(140, 144, 12)",101%,829px,11697px
kaneka,"rgb(177, 141, 2)",101%,916px,5937px
swedish black metal,"rgb(210, 62, 128)",101%,64px,9635px
mgpjr,"rgb(149, 145, 67)",101%,883px,5223px
gothic americana,"rgb(143, 132, 41)",101%,494px,12625px
hard industrial techno,"rgb(237, 92, 200)",101%,888px,545px
gengetone,"rgb(171, 143, 8)",101%,1110px,7949px
bass music,"rgb(149, 148, 131)",101%,1166px,1531px
c86,"rgb(172, 119, 60)",101%,407px,7848px
neue deutsche todeskunst,"rgb(178, 123, 62)",101%,434px,4317px
nephop,"rgb(149, 144, 14)",101%,1109px,7368px
rosary,"rgb(73, 163, 38)",101%,359px,16702px
son cubano,"rgb(146, 132, 19)",101%,1090px,16554px
greek house,"rgb(176, 145, 187)",101%,1254px,1066px
classic dutch pop,"rgb(150, 134, 26)",101%,717px,8586px
brazilian progressive metal,"rgb(209, 99, 39)",101%,225px,6413px
charlotte nc indie,"rgb(168, 125, 42)",101%,438px,9267px
swamp pop,"rgb(130, 140, 32)",101%,807px,13121px
denver indie,"rgb(155, 134, 49)",101%,478px,10537px
melodipop,"rgb(169, 134, 11)",101%,742px,5223px
ukrainian edm,"rgb(201, 134, 129)",101%,744px,1865px
cumbia boliviana,"rgb(185, 136, 8)",101%,950px,7553px
uk worship,"rgb(140, 142, 11)",101%,354px,8818px
deep adult standards,"rgb(83, 146, 13)",100%,619px,18551px
karneval,"rgb(186, 114, 3)",100%,775px,7020px
japanese guitar,"rgb(79, 169, 199)",100%,940px,16760px
cover acustico,"rgb(104, 161, 3)",100%,898px,13680px
hungarian edm,"rgb(189, 136, 148)",100%,1298px,1272px
french punk,"rgb(216, 92, 23)",100%,407px,6401px
bleep techno,"rgb(166, 131, 172)",100%,1074px,2583px
vintage swedish pop,"rgb(98, 145, 22)",100%,848px,17059px
south african deep house,"rgb(152, 152, 151)",100%,1284px,1115px
texas hardcore,"rgb(229, 75, 63)",100%,241px,9105px
nordnorsk musikk,"rgb(116, 148, 17)",100%,660px,11870px
virginia punk,"rgb(224, 78, 53)",100%,269px,10070px
hokkien pop,"rgb(115, 155, 3)",100%,534px,11834px
denton tx indie,"rgb(163, 123, 58)",100%,397px,10426px
windsor on indie,"rgb(169, 125, 39)",100%,436px,7714px
vocal trance,"rgb(198, 128, 70)",100%,579px,2394px
fake,"rgb(127, 150, 104)",100%,998px,6309px
trival,"rgb(191, 135, 65)",100%,1195px,2726px
spanish reggae,"rgb(179, 138, 15)",100%,1109px,5570px
galician rock,"rgb(204, 102, 24)",100%,465px,6511px
italian jazz,"rgb(77, 155, 132)",100%,727px,18252px
spanish folk rock,"rgb(151, 139, 22)",100%,584px,9836px
swamp blues,"rgb(137, 128, 35)",100%,920px,13888px
indonesian indie pop,"rgb(152, 136, 49)",100%,534px,8230px
victorian britain,"rgb(34, 154, 137)",100%,215px,21307px
family gospel,"rgb(119, 146, 9)",100%,545px,13405px
congolese gospel,"rgb(179, 134, 11)",100%,747px,10941px
speed house,"rgb(216, 121, 77)",100%,902px,2218px
48g,"rgb(224, 103, 65)",100%,356px,2339px
baiao,"rgb(146, 132, 41)",100%,846px,14395px
sunnlensk tonlist,"rgb(133, 145, 32)",100%,704px,9587px
soul flow,"rgb(175, 125, 11)",100%,946px,8850px
icelandic electronic,"rgb(146, 145, 146)",100%,820px,4747px
leeds indie,"rgb(180, 119, 41)",100%,387px,7392px
lapland metal,"rgb(209, 98, 57)",100%,245px,4911px
tibetan pop,"rgb(93, 152, 30)",100%,789px,14195px
musica quintanarroense,"rgb(193, 129, 59)",100%,969px,4142px
atmospheric dnb,"rgb(185, 134, 182)",100%,865px,2812px
twoubadou,"rgb(160, 141, 9)",100%,958px,9675px
modern goth,"rgb(201, 116, 82)",100%,381px,2626px
american grindcore,"rgb(226, 33, 142)",100%,143px,11237px
musica istmena,"rgb(166, 140, 16)",100%,1094px,11856px
brisbane hip hop,"rgb(149, 148, 11)",100%,1042px,7256px
pop ambient,"rgb(118, 152, 199)",100%,724px,6945px
danish post-punk,"rgb(191, 111, 69)",100%,279px,8168px
german thrash metal,"rgb(236, 68, 61)",100%,210px,7009px
danish jazz,"rgb(78, 151, 132)",100%,719px,17415px
jazz cubano,"rgb(133, 132, 111)",100%,960px,16559px
zen,"rgb(51, 138, 203)",100%,138px,18567px
deep uplifting trance,"rgb(208, 125, 120)",100%,704px,1708px
voidgaze,"rgb(191, 78, 179)",100%,34px,10475px
canadian hardcore,"rgb(234, 65, 55)",100%,201px,8817px
german literature,"rgb(63, 117, 0)",100%,1376px,16358px
balkan punk,"rgb(208, 97, 25)",100%,461px,8781px
salsa urbana,"rgb(206, 132, 9)",100%,1044px,8264px
dutch prog,"rgb(148, 134, 56)",100%,502px,12006px
bali indie,"rgb(188, 114, 40)",100%,422px,8069px
modern cello,"rgb(62, 159, 171)",100%,277px,17477px
nz folk,"rgb(116, 150, 19)",100%,574px,13553px
classic icelandic pop,"rgb(129, 139, 12)",100%,744px,11659px
persian melodic rap,"rgb(134, 157, 1)",100%,938px,7762px
okinawan folk,"rgb(141, 143, 18)",100%,656px,10021px
funk evangelico,"rgb(178, 132, 6)",100%,1053px,5495px
argentine indie rock,"rgb(173, 128, 59)",100%,371px,7835px
musica sudcaliforniana,"rgb(151, 146, 1)",100%,989px,13454px
freeform hardcore,"rgb(226, 111, 110)",100%,712px,1822px
chamame,"rgb(150, 139, 25)",100%,998px,13852px
seinen,"rgb(165, 132, 80)",100%,616px,5797px
phoenix indie,"rgb(176, 123, 34)",100%,432px,7727px
fort worth indie,"rgb(161, 127, 73)",100%,432px,7616px
vaqueiro,"rgb(194, 141, 2)",100%,1010px,11004px
gothic black metal,"rgb(212, 94, 92)",100%,168px,6760px
tamil worship,"rgb(149, 140, 7)",100%,773px,10552px
pittsburgh rock,"rgb(182, 115, 26)",100%,409px,8845px
nuevo flamenco,"rgb(141, 140, 24)",100%,938px,14051px
dissonant death metal,"rgb(221, 59, 161)",100%,97px,11521px
malayalam indie,"rgb(121, 154, 30)",100%,690px,10757px
progressive power metal,"rgb(214, 98, 36)",100%,251px,5786px
german indie rock,"rgb(175, 127, 37)",100%,476px,6291px
kurdish remix,"rgb(157, 145, 98)",100%,926px,3817px
ai,"rgb(113, 132, 143)",100%,411px,13175px
uppsala indie,"rgb(171, 126, 39)",100%,483px,7209px
plena uruguaya,"rgb(165, 143, 1)",100%,979px,12663px
slovenian electronic,"rgb(191, 132, 172)",100%,1172px,1980px
glitch pop,"rgb(144, 136, 124)",100%,763px,7590px
cyber metal,"rgb(231, 87, 71)",100%,217px,2812px
wu fam,"rgb(180, 116, 16)",100%,991px,9015px
japanese garage rock,"rgb(214, 85, 49)",100%,307px,9748px
bristol electronic,"rgb(181, 135, 153)",100%,1012px,2710px
drone folk,"rgb(90, 159, 152)",100%,572px,17124px
indie shoegaze,"rgb(165, 127, 139)",100%,179px,7503px
chinese drama ost,"rgb(122, 154, 54)",100%,529px,10830px
ambient psychill,"rgb(161, 152, 200)",100%,730px,3169px
koligeet,"rgb(176, 116, 5)",100%,981px,11262px
alabama metal,"rgb(216, 83, 73)",100%,230px,7367px
chinese indie rock,"rgb(167, 127, 68)",100%,472px,7628px
latvian hip hop,"rgb(160, 137, 38)",100%,1048px,7577px
vintage dutch pop,"rgb(115, 141, 22)",100%,695px,14579px
british contemporary classical,"rgb(32, 158, 124)",100%,309px,20982px
rock chapin,"rgb(176, 125, 24)",100%,529px,7172px
thai pop rap,"rgb(127, 157, 12)",100%,1000px,10502px
native american flute,"rgb(38, 177, 158)",100%,354px,20158px
charlottesville indie,"rgb(133, 143, 34)",100%,527px,10991px
rhode island indie,"rgb(171, 116, 67)",100%,463px,10868px
audiophile vocal,"rgb(68, 161, 8)",100%,782px,17247px
harpsichord,"rgb(64, 159, 123)",100%,403px,18551px
swing italiano,"rgb(105, 144, 27)",100%,1023px,16530px
breakcore,"rgb(199, 103, 145)",100%,771px,4305px
eventyr,"rgb(75, 123, 4)",100%,1275px,15526px
israeli folk,"rgb(93, 161, 97)",100%,520px,14849px
welsh hip hop,"rgb(172, 132, 51)",100%,948px,6510px
tampa indie,"rgb(171, 123, 48)",100%,377px,8255px
austin hip hop,"rgb(147, 145, 7)",100%,1017px,9325px
russian trap metal,"rgb(193, 127, 31)",100%,771px,5051px
porro,"rgb(163, 139, 32)",100%,1127px,11832px
ugandan pop,"rgb(188, 136, 6)",100%,1077px,6867px
reggae maghreb,"rgb(173, 133, 23)",100%,886px,7812px
deep latin alternative,"rgb(157, 136, 61)",100%,717px,8075px
musiikkia lapsille,"rgb(114, 144, 11)",100%,902px,13692px
string duo,"rgb(65, 168, 148)",100%,365px,18178px
cincinnati rap,"rgb(142, 152, 9)",100%,1068px,6172px
ambient post-rock,"rgb(94, 152, 204)",100%,134px,14476px
zillertal,"rgb(181, 133, 36)",100%,873px,8302px
alberta hip hop,"rgb(150, 146, 6)",100%,1081px,7516px
smooth soul,"rgb(148, 138, 24)",100%,960px,5417px
austrian hip hop,"rgb(168, 131, 28)",100%,1014px,10477px
kolkata indie,"rgb(146, 140, 11)",100%,664px,9810px
modern funk,"rgb(178, 123, 52)",100%,952px,6346px
slack-key guitar,"rgb(82, 168, 120)",100%,798px,16604px
andean flute,"rgb(131, 152, 90)",100%,727px,12278px
christian hardcore,"rgb(222, 84, 48)",100%,288px,9352px
belgian dnb,"rgb(215, 128, 128)",100%,1138px,1634px
brazilian hardcore,"rgb(232, 74, 32)",100%,286px,9093px
instrumental surf,"rgb(196, 109, 134)",100%,434px,11461px
tatar pop,"rgb(178, 136, 6)",100%,717px,6105px
british death metal,"rgb(227, 57, 135)",100%,141px,10683px
dunedin indie,"rgb(149, 131, 79)",100%,451px,11981px
charanga,"rgb(134, 137, 20)",100%,1014px,15239px
retro metal,"rgb(200, 107, 79)",100%,232px,10524px
armenian pop,"rgb(174, 131, 10)",100%,798px,7651px
vienna indie,"rgb(151, 136, 46)",100%,587px,8660px
detroit house,"rgb(176, 136, 166)",100%,1268px,1041px
musica jalisciense,"rgb(159, 142, 6)",100%,952px,11523px
thai ost,"rgb(141, 148, 5)",100%,717px,9462px
greek downtempo,"rgb(153, 143, 148)",100%,950px,3506px
malayalam hip hop,"rgb(154, 143, 16)",100%,1057px,7713px
pakistani electronic,"rgb(176, 145, 125)",100%,995px,2552px
korean indie folk,"rgb(85, 164, 43)",100%,749px,14863px
gambian hip hop,"rgb(162, 144, 12)",100%,1098px,8899px
lexington ky indie,"rgb(149, 130, 31)",100%,668px,10708px
oulu metal,"rgb(220, 89, 79)",100%,161px,6960px
library music,"rgb(96, 144, 147)",100%,664px,15612px
nordic post-rock,"rgb(118, 148, 174)",100%,161px,11795px
funk capixaba,"rgb(195, 132, 6)",100%,1286px,6744px
phleng phuea chiwit,"rgb(133, 144, 9)",100%,766px,9873px
corrosion,"rgb(187, 115, 83)",100%,292px,3887px
jesus movement,"rgb(120, 139, 26)",100%,595px,13273px
dark jazz,"rgb(96, 148, 168)",100%,361px,13555px
post-black metal,"rgb(183, 83, 178)",100%,50px,10487px
indie rock peruano,"rgb(176, 129, 41)",100%,428px,6561px
taiwanese indie,"rgb(150, 132, 19)",100%,692px,8943px
kentucky punk,"rgb(226, 75, 57)",100%,256px,10046px
jackin' house,"rgb(212, 115, 140)",100%,1299px,644px
new orleans indie,"rgb(145, 134, 57)",100%,476px,12228px
zimdancehall,"rgb(184, 140, 18)",100%,1025px,9200px
rare groove,"rgb(162, 118, 66)",100%,938px,11066px
vintage hollywood,"rgb(76, 140, 30)",100%,780px,20605px
hardstyle,"rgb(227, 113, 47)",100%,489px,2480px
russian folk,"rgb(99, 129, 38)",100%,538px,19515px
jazz double bass,"rgb(77, 148, 116)",100%,796px,18338px
forro gospel,"rgb(192, 133, 8)",100%,912px,7675px
vietnamese pop,"rgb(110, 157, 9)",100%,478px,13466px
modern enka,"rgb(132, 153, 32)",100%,399px,12104px
nagpuri pop,"rgb(193, 119, 6)",100%,881px,7627px
coco,"rgb(176, 124, 5)",100%,1033px,11979px
british black metal,"rgb(212, 67, 115)",100%,95px,9586px
new mexico music,"rgb(132, 141, 13)",100%,869px,11833px
jazz organ,"rgb(119, 138, 131)",100%,871px,15985px
classic azeri pop,"rgb(120, 145, 37)",100%,543px,15267px
experimental jazz,"rgb(137, 134, 149)",100%,582px,12811px
hungarian folk,"rgb(119, 146, 47)",100%,809px,13950px
voetbal,"rgb(176, 116, 21)",100%,560px,9117px
spiritual hip hop,"rgb(174, 121, 18)",100%,916px,9400px
novelty,"rgb(129, 129, 15)",100%,966px,13540px
indy indie,"rgb(138, 140, 32)",100%,491px,11994px
japanese dream pop,"rgb(154, 137, 98)",100%,432px,8513px
palestinian pop,"rgb(132, 145, 30)",100%,802px,11760px
kentucky metal,"rgb(209, 83, 93)",100%,215px,10058px
432hz,"rgb(32, 163, 218)",100%,292px,19113px
ambient techno,"rgb(149, 139, 196)",100%,837px,4907px
swing revival,"rgb(138, 125, 29)",100%,922px,14195px
neo metal,"rgb(218, 94, 42)",100%,375px,5378px
vintage tango,"rgb(78, 147, 71)",100%,969px,20187px
cape verdean folk,"rgb(136, 143, 10)",100%,850px,13644px
sami,"rgb(109, 149, 33)",100%,569px,12699px
bard,"rgb(93, 145, 14)",100%,883px,16944px
lagu bali,"rgb(139, 152, 91)",100%,886px,9451px
acidcore,"rgb(225, 123, 178)",100%,1021px,945px
rock keyboard,"rgb(134, 133, 114)",100%,545px,13162px
action rock,"rgb(226, 80, 33)",100%,183px,7527px
west australian hip hop,"rgb(172, 132, 13)",100%,1023px,9126px
folclor afrocolombiano,"rgb(170, 135, 17)",100%,1094px,12925px
german tech house,"rgb(177, 147, 200)",100%,1423px,273px
christian hard rock,"rgb(205, 110, 24)",100%,264px,4448px
deathrock,"rgb(196, 103, 82)",100%,319px,6401px
japanese blues,"rgb(166, 122, 26)",100%,692px,11894px
chinese traditional,"rgb(38, 163, 182)",100%,186px,19010px
novo rock gaucho,"rgb(171, 126, 24)",100%,436px,7665px
underground power pop,"rgb(176, 121, 17)",100%,455px,8267px
norrlandsk hip hop,"rgb(163, 135, 22)",100%,998px,11237px
deep happy hardcore,"rgb(228, 115, 94)",100%,782px,1564px
russian synthpop,"rgb(177, 136, 75)",100%,771px,2767px
brazilian percussion,"rgb(176, 120, 66)",100%,1040px,12614px
italian trance,"rgb(213, 126, 169)",100%,883px,947px
jazz metal,"rgb(182, 105, 120)",100%,311px,10598px
musical advocacy,"rgb(142, 135, 11)",100%,496px,9377px
griot,"rgb(155, 138, 43)",100%,1002px,12299px
melodic power metal,"rgb(219, 94, 32)",100%,230px,4174px
musica popular uruguaya,"rgb(139, 136, 11)",100%,863px,13815px
canterbury scene,"rgb(133, 129, 84)",100%,472px,13899px
musica tropical guatemalteca,"rgb(170, 148, 45)",100%,1127px,8124px
hamburg indie,"rgb(163, 132, 27)",100%,553px,7888px
japanese vocal jazz,"rgb(90, 154, 14)",100%,787px,16592px
zilizopendwa,"rgb(169, 132, 15)",100%,964px,12626px
dub reggae,"rgb(157, 153, 109)",100%,1218px,1555px
alpine yodeling,"rgb(172, 123, 11)",100%,732px,8673px
darkstep,"rgb(231, 109, 156)",100%,813px,1966px
swedish stoner rock,"rgb(189, 114, 63)",100%,262px,11151px
austin metal,"rgb(217, 85, 96)",100%,201px,8365px
straight-ahead jazz,"rgb(83, 151, 118)",100%,865px,18522px
neurostep,"rgb(226, 122, 151)",100%,920px,1835px
experimental indie,"rgb(139, 134, 91)",100%,643px,11622px
jazz drums,"rgb(110, 128, 95)",100%,888px,17575px
classic romanian pop,"rgb(188, 129, 25)",100%,985px,2741px
kora,"rgb(112, 153, 110)",100%,948px,16042px
outsider house,"rgb(166, 135, 190)",100%,946px,3210px
trance mexicano,"rgb(204, 130, 181)",100%,1159px,1149px
post-doom metal,"rgb(190, 91, 150)",100%,127px,11374px
miami metal,"rgb(212, 88, 88)",100%,232px,8500px
draga,"rgb(187, 130, 24)",100%,998px,2841px
spanish post-punk,"rgb(191, 113, 84)",100%,342px,6082px
beatboxing,"rgb(166, 130, 57)",100%,1059px,5379px
nice indie,"rgb(173, 130, 54)",100%,500px,7147px
indie valenciana,"rgb(175, 131, 26)",100%,463px,6647px
indian underground rap,"rgb(148, 146, 9)",100%,1112px,8685px
persian electronic,"rgb(150, 150, 149)",100%,1055px,3329px
marathi devotional,"rgb(130, 142, 10)",100%,822px,12700px
pinoy alternative rock,"rgb(170, 119, 35)",100%,550px,10599px
underground amapiano,"rgb(148, 159, 111)",100%,1311px,1469px
haitian gospel,"rgb(152, 138, 12)",100%,597px,10684px
hamilton on indie,"rgb(160, 128, 43)",100%,550px,8573px
amharic pop,"rgb(173, 134, 7)",100%,896px,6847px
harp,"rgb(57, 168, 161)",100%,727px,19457px
romanian electronic,"rgb(178, 140, 173)",100%,1354px,847px
lagu sunda,"rgb(144, 150, 22)",100%,787px,7565px
musica cabo-verdiana,"rgb(158, 136, 24)",100%,867px,9712px
ukulele,"rgb(97, 157, 101)",100%,1055px,15480px
ramonescore,"rgb(228, 87, 25)",100%,296px,5342px
nueva trova chilena,"rgb(103, 156, 14)",100%,809px,15583px
polish electronica,"rgb(154, 143, 134)",100%,775px,4416px
christian a cappella,"rgb(82, 147, 9)",100%,432px,16300px
funk mexicano,"rgb(186, 124, 85)",100%,908px,4179px
multidisciplinary,"rgb(137, 140, 96)",100%,595px,11052px
dallas indie,"rgb(157, 131, 31)",100%,472px,8882px
musica para criancas,"rgb(108, 148, 15)",100%,983px,13839px
bajki,"rgb(68, 137, 74)",100%,802px,16993px
louisiana metal,"rgb(208, 87, 93)",100%,172px,11565px
hip hop timur,"rgb(147, 148, 10)",100%,1064px,8436px
schranz,"rgb(222, 95, 198)",100%,1006px,646px
neotango,"rgb(133, 145, 92)",100%,944px,7317px
cornetas y tambores,"rgb(92, 137, 173)",100%,513px,18539px
spa,"rgb(89, 69, 198)",100%,129px,18281px
brisbane punk,"rgb(228, 80, 32)",100%,319px,8561px
orquesta tipica,"rgb(79, 146, 86)",100%,1000px,19957px
guatemalan pop,"rgb(169, 140, 14)",100%,983px,6780px
deep norteno,"rgb(180, 139, 7)",100%,983px,10614px
kent indie,"rgb(168, 122, 39)",100%,605px,8598px
soviet synthpop,"rgb(178, 127, 28)",100%,820px,3616px
deep soundtrack,"rgb(53, 162, 194)",100%,217px,16989px
chant religieux,"rgb(62, 163, 28)",100%,321px,18826px
dub techno,"rgb(140, 145, 211)",100%,1066px,2870px
warm drone,"rgb(69, 145, 207)",100%,83px,17821px
psychedelic punk,"rgb(187, 101, 98)",100%,317px,10856px
south african choral,"rgb(103, 135, 4)",100%,671px,16673px
musiqi-ye zanan,"rgb(97, 152, 17)",100%,589px,16817px
varmland rock,"rgb(189, 114, 23)",100%,397px,7048px
