genre,font_size,color,colors_rgb,top,left
eugene indie,101%,#9e7d2e,"rgb(158, 125, 46)",11040px,485px
modern old-time,101%,#769a35,"rgb(118, 154, 53)",15383px,782px
bulgarian trap,101%,#99950a,"rgb(153, 149, 10)",2956px,1225px
modern jungle,101%,#cc82aa,"rgb(204, 130, 170)",2205px,1010px
ska espanol,101%,#cc7414,"rgb(204, 116, 20)",5264px,775px
ethio-jazz,101%,#928877,"rgb(146, 136, 119)",13027px,754px
electro trash,101%,#c6777e,"rgb(198, 119, 126)",1971px,942px
progressive death metal,101%,#d05f6c,"rgb(208, 95, 108)",9847px,186px
danish indie,101%,#8d8d48,"rgb(141, 141, 72)",9984px,543px
arabic jazz,101%,#659889,"rgb(101, 152, 137)",15439px,724px
sgija,101%,#91a17f,"rgb(145, 161, 127)",1127px,1342px
dublin indie,101%,#a0822f,"rgb(160, 130, 47)",9304px,424px
old-time,101%,#59962d,"rgb(89, 150, 45)",19068px,952px
depressive black metal,101%,#af51a6,"rgb(175, 81, 166)",11174px,67px
japanese celtic,101%,#928473,"rgb(146, 132, 115)",10207px,328px
marathi traditional,101%,#828726,"rgb(130, 135, 38)",15297px,822px
black punk,101%,#cc5b2e,"rgb(204, 91, 46)",8931px,397px
gbvfi,101%,#a9723e,"rgb(169, 114, 62)",11077px,393px
christchurch indie,101%,#9a8844,"rgb(154, 136, 68)",9092px,472px
american post-punk,101%,#bd6e6c,"rgb(189, 110, 108)",7233px,393px
turin indie,101%,#a88132,"rgb(168, 129, 50)",7946px,532px
irish indie rock,101%,#ab7d30,"rgb(171, 125, 48)",7295px,373px
korean electropop,101%,#97904a,"rgb(151, 144, 74)",6402px,732px
slovak trap,101%,#929a08,"rgb(146, 154, 8)",5471px,1023px
hard trance,101%,#e26a9f,"rgb(226, 106, 159)",1119px,839px
tone,101%,#23aed2,"rgb(35, 174, 210)",19055px,157px
swiss trap,101%,#90980c,"rgb(144, 152, 12)",5379px,1136px
irish indie,101%,#7a952d,"rgb(122, 149, 45)",12055px,522px
bornesange,101%,#7b8f09,"rgb(123, 143, 9)",11980px,1101px
irish pub song,101%,#668f0b,"rgb(102, 143, 11)",15968px,798px
mestissatge,101%,#b98306,"rgb(185, 131, 6)",4342px,867px
drill and bass,101%,#b176a1,"rgb(177, 118, 161)",5207px,813px
british orchestra,101%,#359aaa,"rgb(53, 154, 170)",18912px,252px
rap paranaense,101%,#92920c,"rgb(146, 146, 12)",9451px,1023px
coral gospel,101%,#6f9618,"rgb(111, 150, 24)",12427px,385px
chicago pop punk,101%,#d76017,"rgb(215, 96, 23)",5391px,292px
german heavy metal,101%,#d85f16,"rgb(216, 95, 22)",5317px,258px
yaoi,101%,#af7d49,"rgb(175, 125, 73)",5347px,489px
zamba,101%,#549823,"rgb(84, 152, 35)",18596px,1063px
kabyle,101%,#b17e0f,"rgb(177, 126, 15)",8137px,820px
renaissance,101%,#1fa658,"rgb(31, 166, 88)",21532px,251px
dungeon synth,101%,#6e86c2,"rgb(110, 134, 194)",13029px,147px
ballroom,101%,#7a9379,"rgb(122, 147, 121)",11610px,714px
canadian indie folk,101%,#689a24,"rgb(104, 154, 36)",14109px,513px
musique guadeloupe,101%,#bc870f,"rgb(188, 135, 15)",4947px,1033px
ecuadorian indie,101%,#9b8637,"rgb(155, 134, 55)",7999px,698px
shimmer psych,101%,#8f8a62,"rgb(143, 138, 98)",11449px,461px
samurai trap,101%,#af917e,"rgb(175, 145, 126)",2941px,912px
finnish classical,101%,#1c9d97,"rgb(28, 157, 151)",21639px,199px
dutch indie rock,101%,#a68031,"rgb(166, 128, 49)",8243px,438px
mbalax,101%,#9d8313,"rgb(157, 131, 19)",12549px,934px
slovak punk,101%,#c0710a,"rgb(192, 113, 10)",7860px,518px
dusseldorf electronic,101%,#ad84ab,"rgb(173, 132, 171)",2339px,1132px
ukrainian folk rock,101%,#b17d16,"rgb(177, 125, 22)",6773px,678px
arab folk,101%,#559a6d,"rgb(85, 154, 109)",18108px,668px
seemannslieder,101%,#619023,"rgb(97, 144, 35)",16026px,706px
schweizer rap,101%,#979309,"rgb(151, 147, 9)",7133px,1118px
philly drill,101%,#959706,"rgb(149, 151, 6)",8074px,1120px
aussie emo,101%,#c4720b,"rgb(196, 114, 11)",7556px,305px
world chill,101%,#8b968b,"rgb(139, 150, 139)",6513px,698px
omaha indie,101%,#998023,"rgb(153, 128, 35)",11276px,476px
cambodian pop,101%,#8a931a,"rgb(138, 147, 26)",9537px,782px
new wave of thrash metal,101%,#f1443b,"rgb(241, 68, 59)",6899px,249px
funana,101%,#b98617,"rgb(185, 134, 23)",3506px,1109px
bath indie,101%,#8f842d,"rgb(143, 132, 45)",11956px,491px
huayno popular,101%,#bd8c04,"rgb(189, 140, 4)",12876px,922px
folclore tucumano,101%,#5b9d0c,"rgb(91, 157, 12)",17362px,914px
swedish synth,101%,#bb865b,"rgb(187, 134, 91)",2124px,777px
rock alternatif francais,101%,#bc703e,"rgb(188, 112, 62)",7640px,344px
indonesian edm,101%,#bd866b,"rgb(189, 134, 107)",2993px,811px
folklore nuevo argentino,101%,#809314,"rgb(128, 147, 20)",14002px,898px
kyrgyz hip hop,101%,#ab8a12,"rgb(171, 138, 18)",7107px,1066px
vancouver metal,101%,#d05858,"rgb(208, 88, 88)",7835px,234px
kizomba antigas,101%,#b88d1b,"rgb(184, 141, 27)",3005px,1055px
mega funk,101%,#a1880b,"rgb(161, 136, 11)",2884px,1280px
mexican metal,101%,#dc5343,"rgb(220, 83, 67)",8279px,254px
thai bl ost,101%,#839811,"rgb(131, 152, 17)",8919px,752px
indie platense,101%,#a28726,"rgb(162, 135, 38)",8391px,491px
kizomba cabo-verdiana,101%,#b2930f,"rgb(178, 147, 15)",2913px,1027px
czech singer-songwriter,101%,#6f940c,"rgb(111, 148, 12)",15224px,802px
norwegian folk rock,101%,#928c0b,"rgb(146, 140, 11)",11325px,491px
avant-garde,101%,#219678,"rgb(33, 150, 120)",20873px,359px
chinese manyao,101%,#a89421,"rgb(168, 148, 33)",4112px,900px
krautrock,101%,#84848c,"rgb(132, 132, 140)",12302px,463px
adoracion pentecostal,101%,#8f9408,"rgb(143, 148, 8)",10929px,871px
accordion,101%,#7e894d,"rgb(126, 137, 77)",15371px,818px
tamborazo,101%,#9c8b63,"rgb(156, 139, 99)",11225px,971px
kannada pop,101%,#988b05,"rgb(152, 139, 5)",10734px,869px
avant-garde jazz,101%,#578b62,"rgb(87, 139, 98)",17994px,730px
suomirap,101%,#ae800d,"rgb(174, 128, 13)",7774px,1055px
merengue tipico,101%,#c0780a,"rgb(192, 120, 10)",13131px,1081px
rap inde,101%,#b08014,"rgb(176, 128, 20)",10930px,1035px
connecticut hardcore,101%,#e45328,"rgb(228, 83, 40)",9243px,294px
deep techno,101%,#af95cc,"rgb(175, 149, 204)",857px,1256px
greek metal,101%,#d65d50,"rgb(214, 93, 80)",6339px,214px
slovenian pop,101%,#9e860b,"rgb(158, 134, 11)",9093px,656px
melodic hard rock,101%,#d16b09,"rgb(209, 107, 9)",4030px,273px
rap liegeois,101%,#8d940f,"rgb(141, 148, 15)",10024px,1076px
blasmusik,101%,#5896ab,"rgb(88, 150, 171)",19084px,809px
connecticut indie,101%,#99842a,"rgb(153, 132, 42)",11697px,470px
austrian indie,101%,#8b9125,"rgb(139, 145, 37)",8476px,717px
russian trance,101%,#dd797d,"rgb(221, 121, 125)",1779px,505px
thai teen pop,101%,#9b8f09,"rgb(155, 143, 9)",6859px,793px
instrumental djent,101%,#d86dc1,"rgb(216, 109, 193)",3702px,275px
soulful house,101%,#b58677,"rgb(181, 134, 119)",1017px,1258px
oshare kei,101%,#da6210,"rgb(218, 98, 16)",4190px,328px
tropical tecladista,101%,#b48d0c,"rgb(180, 141, 12)",2812px,1197px
tipico,101%,#b08705,"rgb(176, 135, 5)",13029px,962px
rap underground colombiano,101%,#988526,"rgb(152, 133, 38)",9463px,1061px
musica tabasquena,101%,#af850e,"rgb(175, 133, 14)",8287px,1175px
cincinnati indie,101%,#ae7932,"rgb(174, 121, 50)",8793px,393px
finnish indie,101%,#928c5c,"rgb(146, 140, 92)",8857px,605px
mandolin,101%,#709a59,"rgb(112, 154, 89)",15359px,858px
gypsy punk,101%,#b07927,"rgb(176, 121, 39)",8787px,727px
grimewave,101%,#a98987,"rgb(169, 137, 135)",4167px,934px
operetta,101%,#369155,"rgb(54, 145, 85)",21051px,522px
russian metalcore,101%,#e65a31,"rgb(230, 90, 49)",4477px,234px
persian rock,101%,#968c15,"rgb(150, 140, 21)",10009px,600px
trondersk musikk,101%,#9e8807,"rgb(158, 136, 7)",8391px,602px
modular synth,101%,#6e95c5,"rgb(110, 149, 197)",12563px,489px
underground rap,101%,#b6761b,"rgb(182, 118, 27)",10739px,1012px
romanian rock,101%,#a4861a,"rgb(164, 134, 26)",6761px,600px
new tribe,101%,#5d9eab,"rgb(93, 158, 171)",14097px,744px
munich electronic,101%,#b38eab,"rgb(179, 142, 171)",1211px,1256px
viola caipira,101%,#759a35,"rgb(117, 154, 53)",15640px,883px
zikir,101%,#4ea102,"rgb(78, 161, 2)",17088px,647px
classic anime,101%,#9d7f44,"rgb(157, 127, 68)",7456px,550px
afro drill,101%,#9f8f08,"rgb(159, 143, 8)",8136px,1148px
ukrainian post-punk,101%,#b37d71,"rgb(179, 125, 113)",5051px,483px
adoracion,101%,#9b8c12,"rgb(155, 140, 18)",9785px,600px
mappila paattu,101%,#a08e05,"rgb(160, 142, 5)",8412px,898px
psychokore,101%,#b88010,"rgb(184, 128, 16)",6043px,996px
midwest americana,101%,#829115,"rgb(130, 145, 21)",13175px,553px
semba,101%,#ae860e,"rgb(174, 134, 14)",8763px,973px
vietnamese bolero,101%,#7d9a05,"rgb(125, 154, 5)",13027px,529px
japanese underground rap,101%,#b27a25,"rgb(178, 122, 37)",9563px,991px
swedish punk,101%,#d75912,"rgb(215, 89, 18)",9574px,317px
neapolitan funk,101%,#a28156,"rgb(162, 129, 86)",5316px,1012px
kundiman,101%,#5e9c1e,"rgb(94, 156, 30)",15784px,507px
granada indie,101%,#b0812d,"rgb(176, 129, 45)",7060px,432px
korean underground rap,101%,#a9870a,"rgb(169, 135, 10)",8035px,1105px
hardtekk,101%,#cb8789,"rgb(203, 135, 137)",1309px,1099px
vermont indie,101%,#798e2f,"rgb(121, 142, 47)",13380px,562px
croatian hip hop,101%,#b48014,"rgb(180, 128, 20)",7861px,1040px
technical groove metal,101%,#e34560,"rgb(227, 69, 96)",6094px,262px
swedish house,101%,#ab8ca6,"rgb(171, 140, 166)",1370px,1218px
new orleans soul,101%,#8a7d24,"rgb(138, 125, 36)",14499px,944px
trap maroc,101%,#8c9604,"rgb(140, 150, 4)",8586px,1031px
piedmont blues,101%,#4a9728,"rgb(74, 151, 40)",19658px,1079px
arab groove,101%,#918831,"rgb(145, 136, 49)",11040px,835px
blaskapelle,101%,#5c92a6,"rgb(92, 146, 166)",19228px,782px
classic nepali pop,101%,#609c6c,"rgb(96, 156, 108)",14763px,440px
naat,101%,#828b01,"rgb(130, 139, 1)",16571px,690px
tekno,101%,#e27494,"rgb(226, 116, 148)",1277px,960px
brega paraense,101%,#c18904,"rgb(193, 137, 4)",4764px,991px
telugu worship,101%,#928b0f,"rgb(146, 139, 15)",11509px,727px
experimental folk,101%,#589a75,"rgb(88, 154, 117)",15784px,352px
slow game,101%,#9a9107,"rgb(154, 145, 7)",6259px,1006px
heavy alternative,101%,#d66c0b,"rgb(214, 108, 11)",3657px,251px
jazz mexicano,101%,#729164,"rgb(114, 145, 100)",14789px,791px
electro bailando,101%,#c98608,"rgb(201, 134, 8)",2612px,1070px
polish blues,101%,#998214,"rgb(153, 130, 20)",11064px,664px
instrumental stoner rock,101%,#aa7b9b,"rgb(170, 123, 155)",11337px,313px
rennes indie,101%,#8d882c,"rgb(141, 136, 44)",9613px,807px
rumeli turkuleri,101%,#888e36,"rgb(136, 142, 54)",13689px,634px
experimental house,101%,#aa8db8,"rgb(170, 141, 184)",2368px,1081px
rap kreyol,101%,#b18705,"rgb(177, 135, 5)",9687px,1074px
rumba catalana,101%,#c1720c,"rgb(193, 114, 12)",12502px,1017px
cantautor catala,101%,#729513,"rgb(114, 149, 19)",14383px,687px
outsider,101%,#6d7e4d,"rgb(109, 126, 77)",15175px,587px
hammond organ,101%,#82877a,"rgb(130, 135, 122)",14220px,894px
funky breaks,101%,#b98280,"rgb(185, 130, 128)",1346px,1211px
atlanta punk,101%,#d7582c,"rgb(215, 88, 44)",8732px,298px
igbo pop,101%,#c08011,"rgb(192, 128, 17)",12238px,1051px
commons,101%,#639b95,"rgb(99, 155, 149)",12749px,507px
deep german indie,101%,#95882e,"rgb(149, 136, 46)",8182px,597px
sydney indie,101%,#b27b33,"rgb(178, 123, 51)",7470px,379px
indie napoletano,101%,#888c28,"rgb(136, 140, 40)",10819px,802px
traditional folk,101%,#4c9821,"rgb(76, 152, 33)",19515px,995px
canadian modern jazz,101%,#5e9886,"rgb(94, 152, 134)",17030px,727px
mecha,101%,#9a7e4d,"rgb(154, 126, 77)",9291px,395px
keroncong,101%,#809a11,"rgb(128, 154, 17)",11251px,602px
horror synth,101%,#6896ba,"rgb(104, 150, 186)",10707px,363px
finnish punk,101%,#d7591b,"rgb(215, 89, 27)",9267px,332px
technical thrash,101%,#e04663,"rgb(224, 70, 99)",9030px,215px
tunisian pop,101%,#af7f08,"rgb(175, 127, 8)",7812px,787px
children's story,101%,#3f8d38,"rgb(63, 141, 56)",16903px,1040px
comptine,101%,#48a151,"rgb(72, 161, 81)",13668px,983px
autonomous black metal,101%,#b351a9,"rgb(179, 81, 169)",11101px,67px
beat italiano,101%,#91860c,"rgb(145, 134, 12)",12189px,483px
german indie pop,101%,#9e8d2b,"rgb(158, 141, 43)",5465px,761px
cypriot pop,101%,#948d0b,"rgb(148, 141, 11)",10635px,690px
symphonic death metal,101%,#d75966,"rgb(215, 89, 102)",6119px,138px
korean trap,101%,#b28f0a,"rgb(178, 143, 10)",6184px,1025px
kyushu indie,101%,#ad7c18,"rgb(173, 124, 24)",8304px,518px
vincy soca,101%,#d18504,"rgb(209, 133, 4)",2812px,1074px
cristiana para ninos,101%,#81921b,"rgb(129, 146, 27)",9836px,802px
full on,101%,#df7bbb,"rgb(223, 123, 187)",1062px,973px
crust punk,101%,#e23665,"rgb(226, 54, 101)",10720px,199px
singeli,101%,#d07548,"rgb(208, 117, 72)",5488px,967px
mongolian alternative,101%,#9d842b,"rgb(157, 132, 43)",8524px,567px
musica ayacuchana,101%,#a3900b,"rgb(163, 144, 11)",14014px,1008px
persian alternative,101%,#7c932d,"rgb(124, 147, 45)",13248px,640px
indie siciliano,101%,#898f23,"rgb(137, 143, 35)",10513px,671px
technical deathcore,101%,#e94586,"rgb(233, 69, 134)",7282px,174px
manitoba indie,101%,#888d1c,"rgb(136, 141, 28)",11375px,545px
plunderphonics,101%,#9e6e5e,"rgb(158, 110, 94)",9848px,749px
uk dub,101%,#919668,"rgb(145, 150, 104)",2525px,1216px
jazz clarinet,101%,#5d8288,"rgb(93, 130, 136)",18982px,969px
coupe-decale,101%,#c57b0d,"rgb(197, 123, 13)",5659px,1048px
buffalo ny metal,101%,#e3435b,"rgb(227, 67, 91)",10427px,228px
nova musica paulista,101%,#83912b,"rgb(131, 145, 43)",11213px,865px
classic sinhala pop,101%,#8c900c,"rgb(140, 144, 12)",11697px,829px
kaneka,101%,#b18d02,"rgb(177, 141, 2)",5937px,916px
swedish black metal,101%,#d23e80,"rgb(210, 62, 128)",9635px,64px
mgpjr,101%,#959143,"rgb(149, 145, 67)",5223px,883px
gothic americana,101%,#8f8429,"rgb(143, 132, 41)",12625px,494px
hard industrial techno,101%,#ed5cc8,"rgb(237, 92, 200)",545px,888px
gengetone,101%,#ab8f08,"rgb(171, 143, 8)",7949px,1110px
bass music,101%,#959483,"rgb(149, 148, 131)",1531px,1166px
c86,101%,#ac773c,"rgb(172, 119, 60)",7848px,407px
neue deutsche todeskunst,101%,#b27b3e,"rgb(178, 123, 62)",4317px,434px
nephop,101%,#95900e,"rgb(149, 144, 14)",7368px,1109px
rosary,101%,#49a326,"rgb(73, 163, 38)",16702px,359px
son cubano,101%,#928413,"rgb(146, 132, 19)",16554px,1090px
greek house,101%,#b091bb,"rgb(176, 145, 187)",1066px,1254px
classic dutch pop,101%,#96861a,"rgb(150, 134, 26)",8586px,717px
brazilian progressive metal,101%,#d16327,"rgb(209, 99, 39)",6413px,225px
charlotte nc indie,101%,#a87d2a,"rgb(168, 125, 42)",9267px,438px
swamp pop,101%,#828c20,"rgb(130, 140, 32)",13121px,807px
denver indie,101%,#9b8631,"rgb(155, 134, 49)",10537px,478px
melodipop,101%,#a9860b,"rgb(169, 134, 11)",5223px,742px
ukrainian edm,101%,#c98681,"rgb(201, 134, 129)",1865px,744px
cumbia boliviana,101%,#b98808,"rgb(185, 136, 8)",7553px,950px
uk worship,101%,#8c8e0b,"rgb(140, 142, 11)",8818px,354px
deep adult standards,100%,#53920d,"rgb(83, 146, 13)",18551px,619px
karneval,100%,#ba7203,"rgb(186, 114, 3)",7020px,775px
japanese guitar,100%,#4fa9c7,"rgb(79, 169, 199)",16760px,940px
cover acustico,100%,#68a103,"rgb(104, 161, 3)",13680px,898px
hungarian edm,100%,#bd8894,"rgb(189, 136, 148)",1272px,1298px
french punk,100%,#d85c17,"rgb(216, 92, 23)",6401px,407px
bleep techno,100%,#a683ac,"rgb(166, 131, 172)",2583px,1074px
vintage swedish pop,100%,#629116,"rgb(98, 145, 22)",17059px,848px
south african deep house,100%,#989897,"rgb(152, 152, 151)",1115px,1284px
texas hardcore,100%,#e54b3f,"rgb(229, 75, 63)",9105px,241px
nordnorsk musikk,100%,#749411,"rgb(116, 148, 17)",11870px,660px
virginia punk,100%,#e04e35,"rgb(224, 78, 53)",10070px,269px
hokkien pop,100%,#739b03,"rgb(115, 155, 3)",11834px,534px
denton tx indie,100%,#a37b3a,"rgb(163, 123, 58)",10426px,397px
windsor on indie,100%,#a97d27,"rgb(169, 125, 39)",7714px,436px
vocal trance,100%,#c68046,"rgb(198, 128, 70)",2394px,579px
fake,100%,#7f9668,"rgb(127, 150, 104)",6309px,998px
trival,100%,#bf8741,"rgb(191, 135, 65)",2726px,1195px
spanish reggae,100%,#b38a0f,"rgb(179, 138, 15)",5570px,1109px
galician rock,100%,#cc6618,"rgb(204, 102, 24)",6511px,465px
italian jazz,100%,#4d9b84,"rgb(77, 155, 132)",18252px,727px
spanish folk rock,100%,#978b16,"rgb(151, 139, 22)",9836px,584px
swamp blues,100%,#898023,"rgb(137, 128, 35)",13888px,920px
indonesian indie pop,100%,#988831,"rgb(152, 136, 49)",8230px,534px
victorian britain,100%,#229a89,"rgb(34, 154, 137)",21307px,215px
family gospel,100%,#779209,"rgb(119, 146, 9)",13405px,545px
congolese gospel,100%,#b3860b,"rgb(179, 134, 11)",10941px,747px
speed house,100%,#d8794d,"rgb(216, 121, 77)",2218px,902px
48g,100%,#e06741,"rgb(224, 103, 65)",2339px,356px
baiao,100%,#928429,"rgb(146, 132, 41)",14395px,846px
sunnlensk tonlist,100%,#859120,"rgb(133, 145, 32)",9587px,704px
soul flow,100%,#af7d0b,"rgb(175, 125, 11)",8850px,946px
icelandic electronic,100%,#929192,"rgb(146, 145, 146)",4747px,820px
leeds indie,100%,#b47729,"rgb(180, 119, 41)",7392px,387px
lapland metal,100%,#d16239,"rgb(209, 98, 57)",4911px,245px
tibetan pop,100%,#5d981e,"rgb(93, 152, 30)",14195px,789px
musica quintanarroense,100%,#c1813b,"rgb(193, 129, 59)",4142px,969px
atmospheric dnb,100%,#b986b6,"rgb(185, 134, 182)",2812px,865px
twoubadou,100%,#a08d09,"rgb(160, 141, 9)",9675px,958px
modern goth,100%,#c97452,"rgb(201, 116, 82)",2626px,381px
american grindcore,100%,#e2218e,"rgb(226, 33, 142)",11237px,143px
musica istmena,100%,#a68c10,"rgb(166, 140, 16)",11856px,1094px
brisbane hip hop,100%,#95940b,"rgb(149, 148, 11)",7256px,1042px
pop ambient,100%,#7698c7,"rgb(118, 152, 199)",6945px,724px
danish post-punk,100%,#bf6f45,"rgb(191, 111, 69)",8168px,279px
german thrash metal,100%,#ec443d,"rgb(236, 68, 61)",7009px,210px
danish jazz,100%,#4e9784,"rgb(78, 151, 132)",17415px,719px
jazz cubano,100%,#85846f,"rgb(133, 132, 111)",16559px,960px
zen,100%,#338acb,"rgb(51, 138, 203)",18567px,138px
deep uplifting trance,100%,#d07d78,"rgb(208, 125, 120)",1708px,704px
voidgaze,100%,#bf4eb3,"rgb(191, 78, 179)",10475px,34px
canadian hardcore,100%,#ea4137,"rgb(234, 65, 55)",8817px,201px
german literature,100%,#3f7500,"rgb(63, 117, 0)",16358px,1376px
balkan punk,100%,#d06119,"rgb(208, 97, 25)",8781px,461px
salsa urbana,100%,#ce8409,"rgb(206, 132, 9)",8264px,1044px
dutch prog,100%,#948638,"rgb(148, 134, 56)",12006px,502px
bali indie,100%,#bc7228,"rgb(188, 114, 40)",8069px,422px
modern cello,100%,#3e9fab,"rgb(62, 159, 171)",17477px,277px
nz folk,100%,#749613,"rgb(116, 150, 19)",13553px,574px
classic icelandic pop,100%,#818b0c,"rgb(129, 139, 12)",11659px,744px
persian melodic rap,100%,#869d01,"rgb(134, 157, 1)",7762px,938px
okinawan folk,100%,#8d8f12,"rgb(141, 143, 18)",10021px,656px
funk evangelico,100%,#b28406,"rgb(178, 132, 6)",5495px,1053px
argentine indie rock,100%,#ad803b,"rgb(173, 128, 59)",7835px,371px
musica sudcaliforniana,100%,#979201,"rgb(151, 146, 1)",13454px,989px
freeform hardcore,100%,#e26f6e,"rgb(226, 111, 110)",1822px,712px
chamame,100%,#968b19,"rgb(150, 139, 25)",13852px,998px
seinen,100%,#a58450,"rgb(165, 132, 80)",5797px,616px
phoenix indie,100%,#b07b22,"rgb(176, 123, 34)",7727px,432px
fort worth indie,100%,#a17f49,"rgb(161, 127, 73)",7616px,432px
vaqueiro,100%,#c28d02,"rgb(194, 141, 2)",11004px,1010px
gothic black metal,100%,#d45e5c,"rgb(212, 94, 92)",6760px,168px
tamil worship,100%,#958c07,"rgb(149, 140, 7)",10552px,773px
pittsburgh rock,100%,#b6731a,"rgb(182, 115, 26)",8845px,409px
nuevo flamenco,100%,#8d8c18,"rgb(141, 140, 24)",14051px,938px
dissonant death metal,100%,#dd3ba1,"rgb(221, 59, 161)",11521px,97px
malayalam indie,100%,#799a1e,"rgb(121, 154, 30)",10757px,690px
progressive power metal,100%,#d66224,"rgb(214, 98, 36)",5786px,251px
german indie rock,100%,#af7f25,"rgb(175, 127, 37)",6291px,476px
kurdish remix,100%,#9d9162,"rgb(157, 145, 98)",3817px,926px
ai,100%,#71848f,"rgb(113, 132, 143)",13175px,411px
uppsala indie,100%,#ab7e27,"rgb(171, 126, 39)",7209px,483px
plena uruguaya,100%,#a58f01,"rgb(165, 143, 1)",12663px,979px
slovenian electronic,100%,#bf84ac,"rgb(191, 132, 172)",1980px,1172px
glitch pop,100%,#90887c,"rgb(144, 136, 124)",7590px,763px
cyber metal,100%,#e75747,"rgb(231, 87, 71)",2812px,217px
wu fam,100%,#b47410,"rgb(180, 116, 16)",9015px,991px
japanese garage rock,100%,#d65531,"rgb(214, 85, 49)",9748px,307px
bristol electronic,100%,#b58799,"rgb(181, 135, 153)",2710px,1012px
drone folk,100%,#5a9f98,"rgb(90, 159, 152)",17124px,572px
indie shoegaze,100%,#a57f8b,"rgb(165, 127, 139)",7503px,179px
chinese drama ost,100%,#7a9a36,"rgb(122, 154, 54)",10830px,529px
ambient psychill,100%,#a198c8,"rgb(161, 152, 200)",3169px,730px
koligeet,100%,#b07405,"rgb(176, 116, 5)",11262px,981px
alabama metal,100%,#d85349,"rgb(216, 83, 73)",7367px,230px
chinese indie rock,100%,#a77f44,"rgb(167, 127, 68)",7628px,472px
latvian hip hop,100%,#a08926,"rgb(160, 137, 38)",7577px,1048px
vintage dutch pop,100%,#738d16,"rgb(115, 141, 22)",14579px,695px
british contemporary classical,100%,#209e7c,"rgb(32, 158, 124)",20982px,309px
rock chapin,100%,#b07d18,"rgb(176, 125, 24)",7172px,529px
thai pop rap,100%,#7f9d0c,"rgb(127, 157, 12)",10502px,1000px
native american flute,100%,#26b19e,"rgb(38, 177, 158)",20158px,354px
charlottesville indie,100%,#858f22,"rgb(133, 143, 34)",10991px,527px
rhode island indie,100%,#ab7443,"rgb(171, 116, 67)",10868px,463px
audiophile vocal,100%,#44a108,"rgb(68, 161, 8)",17247px,782px
harpsichord,100%,#409f7b,"rgb(64, 159, 123)",18551px,403px
swing italiano,100%,#69901b,"rgb(105, 144, 27)",16530px,1023px
breakcore,100%,#c76791,"rgb(199, 103, 145)",4305px,771px
eventyr,100%,#4b7b04,"rgb(75, 123, 4)",15526px,1275px
israeli folk,100%,#5da161,"rgb(93, 161, 97)",14849px,520px
welsh hip hop,100%,#ac8433,"rgb(172, 132, 51)",6510px,948px
tampa indie,100%,#ab7b30,"rgb(171, 123, 48)",8255px,377px
austin hip hop,100%,#939107,"rgb(147, 145, 7)",9325px,1017px
russian trap metal,100%,#c17f1f,"rgb(193, 127, 31)",5051px,771px
porro,100%,#a38b20,"rgb(163, 139, 32)",11832px,1127px
ugandan pop,100%,#bc8806,"rgb(188, 136, 6)",6867px,1077px
reggae maghreb,100%,#ad8517,"rgb(173, 133, 23)",7812px,886px
deep latin alternative,100%,#9d883d,"rgb(157, 136, 61)",8075px,717px
musiikkia lapsille,100%,#72900b,"rgb(114, 144, 11)",13692px,902px
string duo,100%,#41a894,"rgb(65, 168, 148)",18178px,365px
cincinnati rap,100%,#8e9809,"rgb(142, 152, 9)",6172px,1068px
ambient post-rock,100%,#5e98cc,"rgb(94, 152, 204)",14476px,134px
zillertal,100%,#b58524,"rgb(181, 133, 36)",8302px,873px
alberta hip hop,100%,#969206,"rgb(150, 146, 6)",7516px,1081px
smooth soul,100%,#948a18,"rgb(148, 138, 24)",5417px,960px
austrian hip hop,100%,#a8831c,"rgb(168, 131, 28)",10477px,1014px
kolkata indie,100%,#928c0b,"rgb(146, 140, 11)",9810px,664px
modern funk,100%,#b27b34,"rgb(178, 123, 52)",6346px,952px
slack-key guitar,100%,#52a878,"rgb(82, 168, 120)",16604px,798px
andean flute,100%,#83985a,"rgb(131, 152, 90)",12278px,727px
christian hardcore,100%,#de5430,"rgb(222, 84, 48)",9352px,288px
belgian dnb,100%,#d78080,"rgb(215, 128, 128)",1634px,1138px
brazilian hardcore,100%,#e84a20,"rgb(232, 74, 32)",9093px,286px
instrumental surf,100%,#c46d86,"rgb(196, 109, 134)",11461px,434px
tatar pop,100%,#b28806,"rgb(178, 136, 6)",6105px,717px
british death metal,100%,#e33987,"rgb(227, 57, 135)",10683px,141px
dunedin indie,100%,#95834f,"rgb(149, 131, 79)",11981px,451px
charanga,100%,#868914,"rgb(134, 137, 20)",15239px,1014px
retro metal,100%,#c86b4f,"rgb(200, 107, 79)",10524px,232px
armenian pop,100%,#ae830a,"rgb(174, 131, 10)",7651px,798px
vienna indie,100%,#97882e,"rgb(151, 136, 46)",8660px,587px
detroit house,100%,#b088a6,"rgb(176, 136, 166)",1041px,1268px
musica jalisciense,100%,#9f8e06,"rgb(159, 142, 6)",11523px,952px
thai ost,100%,#8d9405,"rgb(141, 148, 5)",9462px,717px
greek downtempo,100%,#998f94,"rgb(153, 143, 148)",3506px,950px
malayalam hip hop,100%,#9a8f10,"rgb(154, 143, 16)",7713px,1057px
pakistani electronic,100%,#b0917d,"rgb(176, 145, 125)",2552px,995px
korean indie folk,100%,#55a42b,"rgb(85, 164, 43)",14863px,749px
